scenario_id,relative_position_x,relative_position_y,relative_position_z,relative_velocity_x,relative_velocity_y,relative_velocity_z,time_to_conjunction,sat_altitude,debris_altitude,scenario_type,collision_risk,required_delta_v
0,-1106.482079779813,11053.543731131562,4202.068753717141,0.44251608793686614,8.462022276858661,-0.19344379509498344,1799.9994020626843,739.9589322153233,1155.5157793723356,background,0,0.0
1,348.4393698001568,6733.740926432452,3592.206941275403,0.8329774832379424,-11.226787136502459,9.086343452550743,263.1092354066028,542.4035872446129,981.5875512176372,background,0,0.0
2,-5.22162595651389,-14.473404324931607,-11.898763024198615,0.005323091855533486,0.003654440643640733,0.004127326115959562,670.5464743656886,587.6030867006502,593.6339751641099,near_conjunction,1,1.0208592295683452
3,-2.3025611775906327,-2.259601027854842,1.78303653752846,0.007432541712034002,0.005431542683052015,-0.006655097072886917,309.99597844322807,780.2949477359789,780.021772185939,near_conjunction,1,2.441700783085178
4,6.2372828637307975,-14.39705771939407,-3.1584302038345413,-0.004703726542928166,-0.006388778482433466,-0.002751422512266899,0.000580740112738413,802.9474464458253,799.7863243344464,near_conjunction,1,0.8995165333559371
5,-3258.327506441901,318.58643445103553,-12185.007121527073,0.35040611755807216,-2.186663837883186,3.7058393699185386,1208.221780316092,497.1549176114095,878.9998248484853,background,0,0.0
6,1.3503613618022428,0.38684914932673564,1.875459304008416,-0.004272526463365178,0.0015853969107668675,0.006255903939673346,0.0005979373155736449,636.5158180645712,637.844280535609,near_conjunction,1,2.2656821915106873
7,-2109.8554355736,-5883.964442084791,-11655.728216538824,-4.10420950406012,3.6553080599054217,-5.422376784988389,1799.9994020626843,590.0170251507907,873.0420139433572,background,0,0.0
8,-8.524436370591559,-7.310831773475911,-6.682296322533148,-0.009972468276014723,0.003997742267234372,-0.0090547905536007,0.0005979373155736449,547.3640123101304,538.0296420914729,near_conjunction,1,1.193219605800571
9,7.754495597173175,-15.93998441700387,4.008929678317145,0.0023773560233226743,-0.0059414995569682105,-0.014460578543884495,1029.5124926695203,587.6018230205627,599.2870922054399,near_conjunction,1,0.7515358744729632
