scenario_id,relative_position_x,relative_position_y,relative_position_z,relative_velocity_x,relative_velocity_y,relative_velocity_z,time_to_conjunction,sat_altitude,debris_altitude,collision_risk,required_delta_v
0,-1718.25189678294,8713.708818251165,988.2151621089565,-1.3874921234569362,3.999409770141482,-7.356715347778161,1799.9994020626843,739.9589322153233,733.3142062079905,0,0.0
1,-4799.5101426956035,1556.8853597921998,-2704.6464658494456,-4.357111519244192,-1.392618502377522,-6.007458817008607,0.0005979373155736449,762.2387849876623,996.827473722462,0,0.0
2,-5005.927296655634,-975.1231229024079,5885.726471411506,-10.965166860661139,-3.594533231247369,0.17529034761801165,0.0005979373155736449,765.3176788275532,1127.8102855127927,0,0.0
3,-1779.6281631076736,2817.335830762223,7280.603042514105,-3.667155760709496,-2.971800322533288,2.5495129288759095,1799.9994020626843,788.6377845526895,909.3602735883051,0,0.0
4,8424.942609069474,2446.4297946775873,6055.871797363858,-4.119560132364101,14.064388866032171,1.914855335848229,0.0005979373155736449,661.6067526014485,397.9376378745337,0,0.0
5,-5313.646582622347,753.0003770080039,2400.4985910366336,-10.969662964606435,1.9293868660855695,2.3642251770538136,0.0005979373155736449,632.3934203102135,804.1717617104732,0,0.0
6,392.9501287918115,11627.990615106053,-1819.9714153166888,-10.44927159315038,1.1718101954499165,-5.74219089170297,1799.9994020626843,773.6542634024627,857.9613981672837,0,0.0
7,-6371.838770839337,2236.581687157637,-8831.06865165756,-1.2439632855002716,-13.644816140854722,-1.7353550368494592,151.33567574185187,624.2056418986185,592.3157232132871,0,0.0
8,-7010.345840285923,3298.4488564611343,-1584.050830621326,-8.019066983666603,-10.72189572770457,-3.884844707947593,0.0005979373155736449,843.5957248385284,440.3838553580563,0,0.0
9,1515.3510909134984,-2635.7387482327845,-6244.356924077111,-5.850352932920313,1.3875006717570844,-3.7877928134895513,1799.9994020626843,497.1549176114095,814.072686544012,0,0.0
10,1735.8327379308917,10873.046404117737,-5468.882893050251,-2.96656589393102,4.985160743887191,11.712987760515794,775.1528451956292,713.1077572436488,366.73154636574145,0,0.0
11,4095.715875947602,11274.761247865463,-2962.6399715321068,-11.693326660849465,5.712078376161182,5.785565551434807,12.44053886176332,846.6510454251284,1137.4180982315847,0,0.0
12,4355.594433500499,-2760.901403797776,-8087.58016416775,1.1572641154500722,-0.7632621232574843,-0.6080774400192284,1586.6269950087205,696.0204636967674,639.9701355452617,0,0.0
13,-9582.662067980717,3248.9453000882395,4800.9717623052575,1.7311231522529011,-8.72142562405074,2.0256979831074435,1071.0784840043548,500.98310888490414,722.2776450655983,0,0.0
14,8786.857996143133,-2153.353199537013,5608.449591318915,9.364538553362326,-4.567741775639327,-3.8329915280407403,1799.9994020626843,780.9485890778851,1198.0869547148632,0,0.0
15,-300.61336174607277,364.9332977112708,4767.4338321504565,-0.828857484819855,7.086330167495829,-2.524246772980181,273.0979759743767,509.1011266292153,714.1765084757435,0,0.0
16,-2564.720298955206,8472.000025987267,-692.6894272453874,0.992225424023256,0.8028226386999807,1.5083287761354698,1513.6932308016355,746.9802553001955,548.9289619301162,0,0.0
17,2821.7727417309106,575.2411770058552,-5843.55591053241,-3.3519629704893594,-1.4806124280171495,0.30215409280954786,1145.8453888769345,508.2335710902453,439.42610300290926,0,0.0
18,2608.4347634396495,507.8273789003465,-6427.410366735256,-8.723305072715211,-11.201088130052002,2.06414304006604,248.05097511669018,777.3095549513755,745.8791735486884,0,0.0
19,-2222.8094441092408,4937.2130724261615,-3473.9678777379877,-6.987754680644535,0.2719583753534289,-1.8152865416866,1799.9994020626843,436.60234423617476,658.9686956063824,0,0.0
20,4118.046449972192,9873.217582575098,2804.283639233458,-0.36014973475927414,0.46310033595677313,-0.04951474237728082,1440.4992455398308,528.0913220442671,510.0273266355971,0,0.0
21,226.69217082648993,-5259.93912289826,2394.3153749894523,0.5694402747746089,-4.896646538591563,-14.176894699900576,43.08767971561395,732.9933155137878,512.2091106433518,0,0.0
22,2000.746557090486,-2153.763487102646,8090.984332232169,7.148843430908387,-3.2628562373474366,-9.42394889397878,488.90177781792374,738.1120537727165,814.2325463537536,0,0.0
23,-216.4360234494011,9802.170267420039,4018.8332490486164,-11.037445072724502,-7.2764400043600865,3.5946839874925303,484.46529438687827,784.134430514111,1107.158762329268,0,0.0
24,-3846.569982508404,5520.402265617023,1835.2124758952918,0.5354681279624662,2.316692714912538,-11.203341820249499,126.59782400291208,526.6702507100745,763.6162626512532,0,0.0
25,-5003.845304820544,8682.755516636955,3926.9404927062133,-5.108171328920808,-6.080739268444595,2.492190080550956,1407.8855706367153,459.00664018700354,1200.360287108373,0,0.0
26,-2602.5487691101252,5517.046018480208,-8602.255483456209,-8.772327749152783,-5.249960670055913,1.003221466335831,1039.8131746344684,867.8078220215739,730.2884722013705,0,0.0
27,-3714.570683467619,-3585.6423497970045,6320.674187410562,-5.311148546757183,-2.859765207961424,0.19998325640590497,1799.9994020626843,597.0179570227247,460.9652363476089,0,0.0
28,913.343918200525,2078.5973936461596,3896.291103441241,-3.346477323400469,-6.497597888618543,-9.40677864898256,357.9154858965219,688.1601309579592,904.3602569112127,0,0.0
29,-3127.986431071127,-13558.250627619505,2067.6462981728723,-7.073601274484161,0.5502508290632351,-6.513484062825755,1503.9575667073282,562.9002270978317,1086.687436639062,0,0.0
30,-1714.6640642771263,-1710.921451464635,745.9247894886796,5.5870662074905795,9.62572606750882,6.708425682419463,126.28590996458519,550.1825922982416,1020.1074539483552,0,0.0
31,5493.68252826277,-8366.077904852373,-7594.086197733079,12.200070767822393,2.8221334687303288,3.0602400084903643,1799.9994020626843,642.8392924666323,873.2344925434409,0,0.0
32,10911.412881463128,-1785.6033700590792,2748.12674361316,0.41091200066352873,0.06910574648174794,0.26451382220469477,1461.566824680659,487.24590786984845,582.4407874794833,0,0.0
33,-294.99286904151177,-2258.3776989932385,-2450.3291269946967,1.9267936799570753,0.7544436871043727,4.9157877771454075,508.9048016850916,799.7589318576283,691.806260626533,0,0.0
34,879.6488911062957,-1827.8391378235742,90.03094289296769,11.910176392896467,-7.793093960061132,-3.774104251655575,0.0005979373155736449,668.302559118928,742.3803029255341,0,0.0
35,13341.88920478274,2325.2041324110405,2717.826616410346,-1.3481493911440994,0.5908937476114575,3.6619231031884265,1492.9734270805036,693.8293716974076,1050.6593688164085,0,0.0
36,8832.823086061386,-582.932685567253,6209.314205844455,5.771573117571385,6.439408813840708,-1.1980951885479876,1799.9994020626843,861.99921610202,547.2089914801081,0,0.0
37,-3013.8618711494373,-3662.368154260511,3791.3394676619964,-4.2567565828764735,-4.8218897067161,8.801798262197401,0.0005979373155736449,779.2068180062915,432.2704483498619,0,0.0
38,-1587.4034773980975,7283.175567761033,504.8628023749721,-7.160525649486216,-0.32504685921268006,4.478947862393887,1799.9994020626843,614.1541584680135,479.46048563448494,0,0.0
39,2718.798810188941,735.1202374395168,-10464.30878051502,-2.061686306320927,-12.11137566194925,-6.349774653768089,0.0005979373155736449,518.7885279401462,1095.730346890069,0,0.0
40,-545.2557729421237,-11921.748457703623,-563.9751342480131,6.325045438997676,-0.3248797947766633,-7.129102261306632,1664.500590708743,505.7402676918964,965.2781467337591,0,0.0
41,-7401.20879078887,-6756.339211179239,-208.37463740815656,7.86907696424386,-7.10906568872703,0.9417373131543401,1799.9994020626843,517.4455414531294,1142.8119915114448,0,0.0
42,-5314.1919112628475,-6746.865927469838,6564.889975387803,7.875812790446228,-8.606045621334994,-7.960157071755274,405.66878122033626,778.0633481240739,467.6842796243327,0,0.0
43,-1195.774603599495,2098.6593224250973,4255.497181784187,-2.7506695953944806,-2.5005431135344462,1.5645690865993525,1799.9994020626843,495.23825660181774,738.813603045468,0,0.0
44,11169.83014787871,4049.9960223331036,2604.7565980148706,1.9300610274570387,7.523092889784861,-11.526618814463735,0.0005979373155736449,470.38077143643386,704.5162188526001,0,0.0
45,-7003.666952925521,-495.76462382817544,8895.398370422941,-9.18503525998678,10.420370255770308,-4.405723020929098,0.0005979373155736449,477.02566187045886,670.9421636183097,0,0.0
46,479.70493661511955,-4490.0654600371045,3476.1959135557963,7.5078447371932855,-4.15293104310741,-9.873010960959142,87.00661834373676,799.9053019367302,973.8108510916682,0,0.0
47,925.9456358564607,11122.460628589812,5901.324472689067,-3.1441064875520155,-6.612011781550759,12.112815637223626,165.77212687685656,652.1946081401347,983.1902254330435,0,0.0
48,-5147.659769103283,-5601.639324352006,9980.77577459421,-2.4228914597139597,-2.496447701152511,3.6031884948728514,1765.733059631078,589.0480744024799,528.7427024847138,0,0.0
49,5608.731469088813,-7525.455934162509,4396.115546115178,-1.7495392250938329,-1.3470744160433499,-6.446121262229396,1204.754504477507,937.0049125499581,696.7860760989588,0,0.0
50,12453.116845790664,-969.0421130360494,6778.17450184337,-0.6952208785474969,-1.6562833796192675,-1.2659060659159147,1441.6607772455802,755.7282412600498,875.6926475065393,0,0.0
51,5930.560971773224,-250.3636359426971,11174.448063508447,-2.1270530631198663,1.6777701635609326,1.6417453906909463,1520.213619281108,719.6975085068916,707.7955379016403,0,0.0
52,-5266.242262278872,4063.354349377637,7113.784604555821,-8.400404075244149,-10.001613065085628,4.892501924930612,0.0005979373155736449,474.99257313982616,476.77655137972033,0,0.0
53,-5042.278892663712,-1705.2661752236331,7264.552764854774,-3.6474169082710253,-1.692769639259633,6.81207730366174,1799.9994020626843,771.102652922722,634.0947844532238,0,0.0
54,8360.71415128297,2819.4027946063775,-6133.090917853575,-5.61750274762597,-2.1441382343575226,-7.624512399412005,1295.1952717627164,579.2910748954582,463.8866291872273,0,0.0
55,4740.472713586225,-3424.1872235584487,-6721.681994610886,6.596871902090888,3.3637353365111973,-3.9465361182143113,1799.9994020626843,666.8829123671485,463.022495023778,0,0.0
56,6063.5065542855555,7664.825391108748,-1455.0156260625217,-5.452288857711876,-7.543698774748888,-8.179441618507191,613.4026422964092,777.712821876712,1079.8398883145965,0,0.0
57,4116.88026440515,9071.88359156171,-9105.82735944949,-8.931322897428664,1.2322094622101867,-2.6849615189358174,1446.3764126817866,532.3819102139914,805.0868695771578,0,0.0
58,-4965.691556072639,-13199.283248106709,-1668.0555382233374,11.874236442651846,-5.067360665720876,6.024206461367159,1799.9994020626843,596.5281998026949,1098.2960787833508,0,0.0
59,5730.320384250868,-186.5234994534303,-1949.4317132135657,2.9180139551630133,-2.541259535624355,-13.474292784099628,0.0005979373155736449,575.357992989243,1205.2504870117418,0,0.0
60,-499.02375149729005,-4048.4221630242214,-5307.536201443775,8.783575183092356,-4.678052198135147,-2.570718131047136,0.0005979373155736449,704.4549958895659,1133.9892279571268,0,0.0
61,1078.340094456533,-2323.4427340100497,-2522.157497410748,-0.5933815885401437,3.397435397635679,3.498689536973674,617.3067515032063,535.4098448534487,624.8760884731946,0,0.0
62,-8492.804981662099,-955.7563622826028,-4620.488962346941,6.149112288832854,-5.102665907248195,1.4546187265772614,880.1150725484415,495.95839609714585,813.6120671249855,0,0.0
63,1066.868693938255,-1814.7985904156787,1455.8546435850712,-1.4006059903128092,-11.214936618359339,-8.557635367454575,0.0005979373155736449,732.6754497376724,953.223174277462,0,0.0
64,-1274.9171084607733,-135.6865688802336,1397.265911235972,4.2162190452133625,-5.4559960592860826,8.095576840514996,0.0005979373155736449,515.7437388453363,597.9839307225784,0,0.0
65,-6535.714349981284,8361.773239611997,-9126.671017987614,4.168837041993545,-6.30700394492823,-9.406015139078754,1522.6375087886363,470.95157399112486,1154.8749664448333,0,0.0
66,6202.835471084191,-6358.226029053545,5914.4368193859045,-2.663736804685245,8.707660029623163,9.146277502543867,412.90367190282274,808.9173863760789,438.7694574679281,0,0.0
